Woreda,Kebele,Village,Latitude,Longitude,No. of HHs,Number of Latrines,Date Triggered,ODF Status,,Open Defecation Free
Shashemene,A/Shifa,Qali,7.2509374,38.6290754,50,50,01/10/2020,ODF,,
Shashemene,A/Shifa,Ashifaa,7.1629029,38.3250903,70,10,,OD,,
Shashemene,A/Shifa,Ardano,7.2128057,38.7257987,20,10,02/01/2020,OD,,
Shashemene,A/Shifa,A/shifaa,7.4878283,38.7345846,,,,,,
Shashemene,A/Shifa,A/shifaa,7.1168816,38.7535854,,,,,,
Shashemene,A/Shifa,aredano,7.1226997,38.7243945,,,"Some blank, some between 2018 to 2020",,,
Shashemene,Abaaroo,Abaaro,7.3029752,38.6492265,Range is between 20 and 200,,,,,
Shashemene,A/Shifa,shifa,7.1266251,38.7390722,,Smaller or same than no. HHs,,ODF must have a date triggered,,
Shashemene,Abaaroo,Burqaa,7.3017009,38.7298308,,,,OD can be blank or can have a date triggered,,
Shashemene,Abaaroo,Wotera,7.1970977,38.7666034,,,,,,
Shashemene,Abaaroo,Burara,7.3033317,38.6312883,,,,,,
Arsi Negele,Adaaba Xiixaa,Adaaba,7.134373,38.803395,,,,,,
Arsi Negele,Adaaba Xiixaa,Qaloo,7.2460135,38.6144954,,,,,,
Shashemene,Abaaroo,Wotera Goba,7.2009298,38.7433414,,,,,,
Arsi Negele,Alii woyyoo,Alii  Woyyoo,7.1057466,38.6549111,,,,,,
Shashemene,Aleeluu iluu,Iluu,7.1372104,38.7115349,,,,,,
Shashemene,Allache,Allache,8.0824002,38.7326583,,,,,,
Shashemene,Ardano Shifa,Ardano,7.1113044,38.7444872,,,,,,
Arsi Negele,Alii woyyoo,maddani_____ìÌalam,7.1307027,38.6656422,,,,,,
Shashemene,Awasho Danku,Awasho,7.1673303,38.7713101,,,,,,
Shashemene,Abaaroo,Sifo,7.1372104,38.7115349,,,,,,
Shashemene,Abaaroo,Shafina,3.474436,40.8979927,,,,,,
Shashemene,Abaaroo,Woshena,3.4745902,40.8932689,,,,,,
Arsi Negele,Basaquu,Basaquu,7.1200314,38.6823763,,,,,,
Arsi Negele,Basaquu ilaalaa,Basaquu,7.1747352,38.8503753,,,,,,
Shashemene,Chabe dedagnata,chabe,7.1372104,38.7115349,,,,,,
Shashemene,Buta fillichaa,Meleka Oda,7.3411204,38.6726721,,,,,,
Arsi Negele,Daanshee,Daanshee,7.1966742,38.6314293,,,,,,
Arsi Negele,Daanshee,Daanshee,7.3206445,38.6532263,,,,,,
Shashemene,Danisa,Caraqo,7.1372104,38.7115349,,,,,,
Shashemene,Danisa,Gutu,7.1372104,38.7115349,,,,,,
Shashemene,Danisa,Sotira,7.1372104,38.7115349,,,,,,
Shashemene,Danisa,Firey,7.1372104,38.7115349,,,,,,
Shashemene,Ebichaa,Jemate,7.1236977,38.6734083,,,,,,
Shashemene,Edola burka,Qeresa,7.1372104,38.7115349,,,,,,
Shashemene,Faji solee,Abita Wotara,7.1277912,38.7075018,,,,,,
Shashemene,Faji solee,Faji 1,7.1372104,38.7115349,,,,,,
Shashemene,Faji solee,Faji 3,7.1969982,38.7665038,,,,,,
Shashemene,Faji solee,Faji 2,7.1372104,38.7115349,,,,,,
Shashemene,G/Qarso,Qerso,7.1583663,38.3341985,,,,,,
Shashemene,G/Qarso,Serdo Gamle,7.1372104,38.7115349,,,,,,
Shashemene,G/Qarso,Hiro Burqitu,7.1372104,38.7115349,,,,,,
Shashemene,G/Qarso,Molale Mosque,7.1372104,38.7115349,,,,,,
Shashemene,G/Qarso,Molale Doka,7.1372104,38.7115349,,,,,,
Shashemene,G/Qarso,Walashe,7.1372104,38.7115349,,,,,,
Shashemene,G/Qarso,qareso 1,7.3508363,38.7135555,,,,,,
Shashemene,G/Qarso,qareso 2,7.115784,38.731734,,,,,,
Shashemene,G/Qarso,qareso 3,7.1968077,38.7655166,,,,,,
Shashemene,G/Qarso,qareso 4,7.4986082,38.730427,,,,,,
Shashemene,G/Qarso,Gonda 2,7.1931245,43.2507825,,,,,,
Shashemene,G/Qarso,Gonda 1,7.1970435,38.7666487,,,,,,
Shashemene,G/Qarso,Gonda 4,7.4249704,38.6933355,,,,,,
Shashemene,G/Qarso,Gonda 3,3.4727383,40.8652264,,,,,,
Arsi Negele,Godee,Godee,7.3423483,38.8099553,,,,,,
Arsi Negele,Cirri,Cirri,7.1777131,38.4885162,,,,,,
Shashemene,Faji solee,Caqule,7.1157866,38.7363525,,,,,,
Shashemene,Faji solee,F/solee,7.4819995,38.6879485,,,,,,
Arsi Negele,Godee,Godee,7.1488942,38.8329406,,,,,,
Arsi Negele,Godee,Godee,7.1541809,38.6848433,,,,,,
Arsi Negele,Godee,Godee,3.474753,40.8660852,,,,,,
Arsi Negele,Godee,Godee,3.4751582,40.8850636,,,,,,
Arsi Negele,Godee,Godee,7.1747924,38.788696,,,,,,
Arsi Negele,Godee,Godee,7.3259343,38.8730393,,,,,,
Arsi Negele,Godee,Godee,7.1453298,38.8924165,,,,,,
Arsi Negele,Godee,Godee,7.1372104,38.7115349,,,,,,
Arsi Negele,Godee,Godee,7.1541809,38.6848433,,,,,,
Arsi Negele,Godee,Godee,7.1363009,38.8290237,,,,,,
Arsi Negele,Godee,Godee,7.1346697,38.713393,,,,,,
Arsi Negele,Godee,Godee,7.1503948,38.830214,,,,,,
Arsi Negele,Godee,Godee,7.1695514,38.8011609,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Arsi Negele,Gorbii Arbii,Malkaa Buttaa,7.1245458,38.6832335,,,,,,
Arsi Negele,Gorbii Dareeraa,Dareeraa,7.1223242,38.7652739,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1548453,38.8300584,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1813097,38.7785942,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1974998,38.8390911,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Arsi Negele,Godee,Godee,7.2018461,38.8035834,,,,,,
Shashemene,H /sinboo,sinbo,7.1289847,38.6544138,,,,,,
Arsi Negele,Godee,Godee,7.1954203,38.7961771,,,,,,
Shashemene,H /sinboo,sinbo,7.1457149,38.6484602,,,,,,
Arsi Negele,Godee,Godee,7.2685442,38.7088157,,,,,,
Shashemene,H /sinboo,sinbo,7.2001482,38.7072473,,,,,,
Shashemene,H /sinboo,sinbo,7.1372104,38.7115349,,,,,,
Shashemene,H /sinboo,sinbo,7.169479,38.8010613,,,,,,
